date,price,open,high,low,vol.,change %,RSI_14,StochRSI,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR_14,DI_Plus,DI_Minus,ADX_14,CCI_20,Williams_%R,OBV,RSI_Oversold,RSI_Overbought,MACD_Bullish,Above_SMA200,Trend_Bullish,Market_Regime,Return_5D
2020-02-05,1.22321,"1,224.17",1.23629,1.21906,2820000000.0,0.15%,56.30131754821459,,1.2088385,,,1.200953451458747,1.1845607291169364,0.010142863787935497,0.011270312505711477,-0.0011274487177759807,1.2399193374032014,1.2088385,1.1777576625967985,0.018027857142857134,29.450453662981907,45.219699671144085,,72.42554923137607,-35.28100620920262,11210000000.0,False,False,False,False,False,Bear,-0.018574079675607535
2020-02-06,1.22284,"1,227.12",1.23845,1.21992,2660000000.0,-0.03%,54.0300886719139,,1.2109855,,,1.203037884653152,1.1860618769947038,0.010674977608004621,0.011151245526170106,-0.0004762679181654853,1.2394737272822345,1.2109855,1.1824972727177656,0.01843928571428572,29.63006004261094,43.900832849118856,,74.11337678414074,-35.87008438146816,8550000000.0,False,False,False,False,False,Bear,-0.014253704491184349
2020-02-07,1.21015,"1,224.76",1.22812,1.20913,2140000000.0000002,-1.04%,42.102155299675246,,1.2121609999999998,,,1.2037152289718993,1.1870065092694213,0.00995791604130103,0.010912579629196291,-0.0009546635878952617,1.238259434637471,1.2121609999999998,1.1860625653625287,0.018759285714285725,25.118988691314797,42.37901229867118,,15.294756760436231,-56.073873587008464,6410000000.0,False,False,False,False,False,Bear,-0.00713961079205061
2020-02-10,1.18342,"1,204.59",1.2119,1.16648,2790000000.0,-2.21%,28.088754412506205,0.0,1.2112075,,,1.2017823500221947,1.186865861847091,0.0071503274515327675,0.010160129193663587,-0.00300980174213082,1.2400434898482149,1.2112075,1.182371510151785,0.020360714285714288,20.063146816348034,52.69251008594986,22.537030104554272,-119.99933183934881,-78.52706299911279,3620000000.0,True,False,False,False,False,Bear,0.020702709097361938
2020-02-11,1.19798,"1,195.05",1.20078,1.17451,2690000000.0,1.23%,38.246313272219986,0.17261807755330788,1.210395,,,1.2014202214486522,1.187301710402107,0.006030646049844934,0.009334232564899857,-0.003303586515054923,1.2397828639470183,1.210395,1.181007136052982,0.02068857142857142,17.214473139069202,51.6434194172076,24.585765487159687,-92.2527679862182,-56.7782656421514,6310000000.0,False,False,False,False,False,Bear,-0.001869814187215213
2020-02-12,1.20049,"1,199.40",1.2137,1.19229,3000000000.0,0.21%,40.106442132020014,0.2042292030426811,1.20995,,,1.2013316289297329,1.1878188982294755,0.005284905395532835,0.008524367131026453,-0.003239461735493618,1.239669600479004,1.20995,1.1802303995209962,0.021311428571428568,21.041694597131006,55.48666041024278,26.61732069811341,-39.288906028144226,-53.33424807903393,9310000000.0,False,False,False,False,False,Bear,-0.0071054319486211215
2020-02-13,1.20541,"1,200.00",1.20812,1.19472,2210000000.0,0.41%,43.68840179768198,0.33521558349922864,1.2097200000000001,,,1.2017200452221393,1.1885087453577314,0.005032887442490308,0.007826071193319224,-0.002793183750828916,1.2395087636887687,1.2097200000000001,1.1799312363112315,0.020000714285714292,20.70997464376271,54.8944680547124,28.793046983527226,-33.83603272375484,-45.908017229401025,11520000000.0,False,False,False,False,False,Bear,-0.04064177333853214
2020-02-14,1.20151,"1,210.82",1.21581,1.20049,2310000000.0,-0.32%,50.004512228138275,0.49364997599494437,1.209058,,,1.201700040915269,1.1890185984809576,0.004466971525519892,0.007154251259759358,-0.002687279734239466,1.238964337719445,1.209058,1.179151662280555,0.019565000000000006,23.978679128180765,55.44521923259469,30.53074475542507,-17.83741640065742,-51.32694178129766,9210000000.0,False,False,False,False,False,Bear,-0.027648542251000885
2020-02-17,1.20792,"1,209.82",1.21242,1.20561,2560000000.0,0.53%,54.35203094777564,0.8731511266084082,1.208144,,,1.2022924179709575,1.189759829913077,0.004484023482018484,0.006620205704211183,-0.0021361822221926986,1.2369412472368644,1.208144,1.1793467527631358,0.019125714285714284,24.529429339707185,56.401254855094166,32.46875494475843,-2.059558613219485,-42.4204529665137,11770000000.0,False,False,False,False,False,Bear,-0.04969699980131137
2020-02-18,1.19574,"1,204.51",1.20451,1.19145,2570000000.0,-1.01%,49.53922589951118,0.7603162953973263,1.206153,,,1.2016683781641997,1.189994346387074,0.0034746593626708844,0.005991096435903124,-0.0025164370732322396,1.2323587744540563,1.206153,1.1799472255459438,0.01942000000000001,24.15771663969396,60.37590113285279,34.06845828514889,-49.57706345986262,-59.34417118243709,9200000000.0,False,False,False,False,False,Bear,-0.043562981919146315
2020-02-19,1.19196,"1,200.36",1.20465,1.18571,2080000000.0,-0.32%,47.424385633270326,0.6853553549089337,1.2043775,,,1.2007437707199902,1.190071430842483,0.002342711299220035,0.005261419408566507,-0.002918708109346472,1.2292815524075063,1.2043775,1.179473447592494,0.019618571428571437,23.964173887715706,57.303575329498315,35.43828584661069,-59.8301498246934,-64.59635959427551,7120000000.0,False,False,False,False,False,Bear,-0.03376791167488835
2020-02-20,1.15642,"1,192.89",1.1935,1.14921,2650000000.0,-2.98%,38.74517374517375,0.3777189361139546,1.2009285,,,1.1965224592228483,1.1887517668878758,-0.0014059398764092457,0.0039279475515713565,-0.005333887427980602,1.23193298339396,1.2009285,1.16992401660604,0.021940714285714296,19.975909105706954,60.2435133639353,37.056972291220795,-166.47323802522465,-91.92066337965045,4470000000.0,False,False,False,False,False,Bear,-0.045173898756507236
2020-02-21,1.16829,"1,150.89",1.17415,1.14453,2600000000.0,1.03%,42.73941289701635,0.5192955497888435,1.198272,,,1.193833653582577,1.1879493446569787,-0.0033800005994646387,0.0024663579213641575,-0.005846358520828796,1.230943573738134,1.198272,1.165600426261866,0.023326428571428574,18.789233548703212,56.94031907401171,38.164090432486525,-152.72040675060313,-74.70187393526405,7070000000.0,False,False,False,False,False,Bear,-0.09274238416831437
